바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
장대비가 내리는 가운데 열리+ㄴ이 날 경기에서 현대중은 후반 10분 마빈루소에게 통한 의결승골을 허용, 무릎을 꿇고 말았다 .	O O O O O O ORG-B O O PER-B O O O O O O O
박지성과 마찬가지로 PSV에 인트 호벤에서 맨체스터 유나이티드로 이적 하+ㄴ 네덜란드 출신 반니스텔 루이는 새내기 박지성이 빠르게 팀에 적응하+ㄹ 수 있도록 적지 않은 도움을 주고 있다 .	PER-B O ORG-B O O ORG-B O O O LOC-B O PER-B O O PER-B O O O O O O O O O O O
박지성의 입단 이후부터 곁에서 그를 계속 지켜보+아온 조광래 전 FC서울감독도 "박지성이 처음 1주일간은 많이 서먹서먹 하+여+였다. 하지만 지금은 선수들과 이야기도 종종 하며 분위기를 잘 익히 +어나가고 있다"며 "특히 네덜란드 친구들로부터 많은 도움을 받고 있는 것 같다"고 전하였다 .	PER-B O O O O O O PER-B O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
오는 2012년 열리+ㄹ 예정이+ㄴ 유럽 축구선수권대회(유로2012)의 유치 경쟁에 지나 +ㄴ대회(유로 2004) 우승팀 그리스 등 5개 팀이 뛰어들었다 .	O O O O O O O O O O O O ORG-B O O O O O
한편 오는 2008년 열리는 유럽 축구선수권은 오스트리아와 스위스가 공동 개최 하+ㄴ다 .	O O O O O O ORG-B ORG-B O O O O
바이아웃 조항에 따르면 호비뉴는 이적료의 40%를 받게 되+어 있다 .	O O O PER-B O O O O O O
현대중은 23일(이하 한국시간) 홍콩 해피밸리 연습구장에서 열리+ㄴ푸마스(멕시코)와의 대회 5-6 위순위 결정 전에서 전, 후반을 득점 없이 비기+ㄴ 뒤 승부차기에서 4-5로 패하였다 .	ORG-B O LOC-B LOC-B LOC-B O LOC-B O O O O O O O O O O O O O O O
박지성(24)으로서 +ㄴ기대와 아쉬움을 동시에 남기+ㄴ 데뷔전이었다 .	PER-B O O O O O O
박지성의 맨체스터 유나이티드 공식 데뷔전은 기대와 아쉬움을 동시에 남기+ㄴ 경기+이었다 .	PER-B ORG-B O O O O O O O O O
전반 20분에도 비슷하+ㄴ 상황에서 날리+ㄴ 슈팅이 골키퍼에 걸리+어 득점과 연결되지 못하는 안타깝ㄴ 상황이 이어지었다 .	O O O O O O O O O O O O O O O
박지성은 전반만 뛰+ㄴ 뒤 교체되었고 맨체스터 유나이티드는 후반주 세페로시, 덩팡저우의 연속골로 홍콩 선발팀을 2-0으로 꺾었다 .	PER-B O O O O ORG-B O O O PER-B O LOC-B O O O O
박지성은 전반 10분에도 루니-니스텔루이로 이어 지+ㄴ 삼각패스로 오른쪽 측면을 파고들었으나 문전에서 뛰쳐나 오+ㄴ 골키퍼판 천입과 부딪히면서 찬스가 무산되었다 .	PER-B O O PER-B O O O O O O O O O O O O O O O
맨체스터 유나이티드는 스트라이커니스텔 루이가 전반 7분과 42분 결정적 이+ㄴ 노마크 찬스를 어이없이 날리+어버리+어 전반에 득점을 하지 못하였다 .	ORG-B O O O O O O O O O O O O O O O O O
박지성은 오는 26일 오후 8시30분 중국 베이징에서 열리는 베이징시엔 다이와의 아시아투어 2차전에 출격 하+여마수걸이 공격 포인트를 노리+ㄴ다 .	PER-B O O O O LOC-B ORG-B O ORG-B O O O O O O O O O
하+ㄴ 홍콩기자가 이날 두 번째 골을 성공시키+ㄴ 중국 출신의 공격수 덩팡저우(20)와 박지성을 비교하+여달라고 부탁하자 "박지성은 경험이 많을뿐더러 덩팡저우와는 전혀 다르+ㄴ 스타일의 플레이를 펼치는 선수"+이라며 직접적 이+ㄴ 언급을 피하였다 .	O LOC-B O O O O O LOC-B O O PER-B PER-B O O PER-B O O PER-B O O O O O O O O O O O
"오늘 경기에 만족 하+ㄴ다. 앞으로 점점 더 좋아지+ㄹ 것이다."'맨유맨'으로 공식 데뷔전을 치르+ㄴ 박지성(24.맨체스터 유나이티드)이 경기 직후 자신감과 만족감을 동시에 표출하였다 .	O O O O O O O O PER-B O O O ORG-B O O O O O O O O
알렉스 퍼거슨맨체스터 유나이티드 감독에게서도 '움직임이 환상적이었다'는 평가를 받은 박지성은 세계 최고의 무대를 향하+여'첫 단추'를 꿰고 나+ㄴ 뒤 담담하게 한 발 한발전진하겠다는 자신감을 보이어 +주었다 .	PER-B ORG-B O O O O O O PER-B O O O O O O O O O O O O O O O O
제도적 이+ㄴ장치 없이 무리하게 K리그 팀을 늘리는 데 따르+ㄴ 부작용에 대하+ㄴ 검토와 기존 구단들에 대하+ㄴ 배려가 허술하다는 지적이다 .	O O O O ORG-B O O O O O O O O O O O O O O
특히 연간 인원 제한 없는 무작위 용병등록의 폐해도 용병 4명 보유에 3명 출전 규정의 취지를 무색하게 하고 있다 .	O O O O O O O O O O O O O O O O O O O
