'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
싸이는 10일 오후 2시 잠실야구장에서 열리는 두산-삼성전에서 시구를 맡기로 +였다. 평소 두산팬이+ㄴ 싸이는 "두산-삼성이 현재 프로야구 1, 2위팀이어서 이번 잠실전은 빅게임에 속하+ㄴ다. 이런 흥미진진 하+ㄴ 경기에서 시구를 하게 되+어 기쁘다. 공이 포수에게까지 가+ㄹ 수 있을지 모르겠다"며 소감을 말하였다 .	PER-B O O O LOC-B O ORG-B TIM-I O O O ORG-B PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O
지나+ㄴ 노출 공연과 달리 이번에 +ㄴ 풍경의 여행길에 팬들을 초청하는 콘셉트다.콘서트 타이틀도 '너에게나 +ㄴ나에게 너+ㄴ'으로 무척 서정적이다.자전거 탄 풍경 콘서트의 백미+이었던 '닭살 벤치'도 '그 대가 되어 주세요' +이라는 코너로 바뀌어 재탄생 하+ㄴ다 .	O O O O O O O O O O O O O O O O ORG-B ORG-I ORG-I O O O O O O O O O O O O O O
이날 보아는 영화 '태극기 휘날리며'의 일본 상영작엔 딩 테마로 쓰이었고, 정규 4집에 수록하였던 'We'를 부르+ㄴ다.보아가 공식적 이+ㄴ 무대에서 'We'를 선보이는 것은 처음이다. 또 최근 발표 하+ㄴ 정규 5집 타이틀곡 'Girls OnTop'의 카리스마 넘치는 무대도 선사 하+ㄴ다 .	O PER-B O O O LOC-B O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O
6일 일본에서 데뷔 싱글'IBelieve'를 발표하+ㄴ 신승훈에 대하+여 일본 음악계는 음반 발매 전부터 '한국발 라드의 황제'의 데뷔에 크+ㄴ 관심을 보이었다 .	O LOC-B O O O PER-B O LOC-B O O O O O O O O O O O O
MBC 라디오는 지나 +ㄴ 2일 열리+ㄴ아프리카 빈곤퇴치를 위하+ㄴ 초대형 콘서트 '라이브8'의 실황을 방송 하+ㄴ다 .	O O O O O LOC-B O O O O O O O O O
권 교수는 먼저 "음원 제작자들은 음원 제작 초기부터 철저하+ㄴ DRM을 적용하+여야 하+ㄴ다"는 점을 강조하였다 .	PER-B O O O O O O O O O O O O O O
춘자, 2집에 설운도와 듀엣곡수 .	PER-B O PER-B O O
신승훈의 소속사(도로시 뮤직)는 "음반 판매체인이+ㄴ야마노악기는 긴 자본점에 신승훈의 'IBelieve' 코너를 따로 마련하였고, 매장에는 'IBelieve'가 쉬+ㄹ 새 없이 흘러나오고 있다"며 "작년 10월 도쿄ㆍ 오사카 콘서트 이후 한정되 +ㄴ 수의 팬들과 2-3회 악수회를 가지+ㄴ 것이 전부 +이지만 크+ㄴ 사랑을 주+어서 감사하다"고 소감을 밝히었다 .	PER-B ORG-B ORG-I O ORG-B O O PER-B O O O O O O O O O O O O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O
나라짱닷컴은 "15일 드라마 촬영이 끝나 +ㄹ 예정으로, 장나라는 최근 주요 출연진과 감독을 우시 시내의 유일하+ㄴ한국식당에 초청 하+여식사하였다"면서 "장나라는 '영원히 잊지 못하+ㄹ 것 같다. 촬영이 끝나는 날이 다가오+ㄹ수록 불안하고 허전하다. 너무 고맙고 정들었다'며 아쉬워하였다"고 전하였다 .	O O O O O O O PER-B O O O O O O LOC-B O O PER-B O O O O O O O O O O O O O O O O O
보니엠은 1974년 독일 프로듀서 프랑 크파리안(FrankF arian)이 결성하+ㄴ그룹으로 '대디쿨'(DaddyCool), '리버스 오브 바빌론'(Riv ersofBabylon), '해피송'(Happy Song) 등의 디스코히트곡을 쏟아내며 한국과 유럽에서 크+ㄴ인기를 모으았다 .	ORG-B O LOC-B O O PER-B O O O O O O O O O O O O LOC-B LOC-B O O O
KCM의 '스마일어게인'이 처음으로 온라인 차트 정상에 오르았다. '스마일어게인'은 7일 자 온라인 음악차트 이+ㄴ 맥스차트에서 1위를 차지하였다 .	PER-B O O O O O O O O O O O O O O O O
MC몽이 김태우와 함께 부르+ㄴ 'ILOVEUOHTHANKU'는 한 계단 오르아 5위를, 옥주현과 함께 부르+ㄴ '홈런'은 14계단 오르아 17위를 기록하였다 .	PER-B PER-B O O O O O O O PER-B O O O O O O O O
5. ILOVEUOHTHANKU(MC몽 .	O PER-B O
11.보통 여자(린 .	O PER-B O
17.홈런(MC몽 .	PER-B O
보아, 강타, 신혜성, M, 쥬얼리 등 한류스타들이 모이+ㄴ 잔치에 아시아권 팬과 취재진이 대거 몰리었다 .	PER-B PER-B PER-B PER-B ORG-B O O O O LOC-B O O O O O
또 함께 +았다는 다카하시 이츠키 씨는 "보아의 공연이 무척 인상적이었다"며 "이미 음악 전문 채널과 잡지를 통하+여god, SG워너비, 버즈에 대하+여서도 알고 있다.이들의 합동 공연에 무척 흥분되었다"고 덧붙이었다 .	O O O PER-B PER-I O PER-B O O O O O O O O ORG-B ORG-B ORG-B O O O O O O O O O
"'나비무덤'은 처음 듣었을 때부터 좋은 곡이었어요. 보통 여러 번 듣으면 금방 질리기 마련이 +ㄴ 데이 곡은 다른 노래와 다르게 질리지가 않더라구요.매력이 있는 것 같아요."2003년 데뷔 앨범을 발표하고 타이틀곡 '베이비 베이비(BabyBaby)'로 이름을 알리었던 이들은 최근 2년 동안 보이지 않았다.그동안 많은 일이 일어나 +았다. 먼저 이민혁의 탈퇴로 멤버가 5명에서 4명으로 줄었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O
싱글 앨범에는 자작곡도 실리+어 있다. '524일 후 …'는 신승희가 작곡하였다. 신승희는 "앨범에 넣으려고 많은 노래를 작곡하였다"며 "그 중 멤버들이 가장 좋아하는 곡을 고르았다"고 말하였다.이승현과 김도완은 힙합곡이+ㄴ 'It'smine'을 함께 작사하였다 .	O O O O O O O O PER-B O PER-B O O O O O O O O O O O O PER-B PER-B O O O O O
동방신기, 日서 두 번째 싱글 발 .	ORG-B LOC-B O O O O O
SM엔터테인먼트는 "동방신기가 한국에서도 싱글 앨범 '하이야 야 여름날'을 내놓아서 한동안 한국과 일본을 바쁘게 오가며 활동하게 되+ㄹ 것"이라고 밝히었다 .	ORG-B ORG-B LOC-B O O O O O O O LOC-B LOC-B O O O O O O O
비와장나라도 청소년 문화에 많은 관심을 갖고 있어 초청에 응하+ㄹ 것으로 광주시는 예상하고 있다 .	PER-B O O O O O O O O O ORG-B O O O
결성 15년을 맞는 일본의 록밴드 '라르크~앙~시에+ㄹ(L`A rc~en~Ciel)'이 10번째 신보 '어웨이크(AWA KE)'를 국내에서도 내놓았다 .	O O O LOC-B O ORG-B ORG-I O O O O O O O
다음달에는 2003년 일본에서 발매되었던 이들의 베스트 앨범 시리즈도 나 오+ㄹ 예정이다 .	O O LOC-B O O O O O O O O O
당초 파티마는 바쁘+ㄴ 스케줄을 들어 아이비 소속사(팬텀)의 안무지도 요청을 거절하였다. 그러나 미국에서 활동 중 이+ㄴ 프로듀서 박진영의 적극적 이+ㄴ 추천으로 아이비의 음악 자료와 동영상을 신중하게 검토 하+ㄴ 끝에 결국 안무를 약속하였다 .	O PER-B O O O PER-B ORG-B O O O O LOC-B O O O O PER-B O O O PER-B O O O O O O O O O O O
MBCFM(91.9㎒)이 28~30일 오후 8시 서울 성균관대학교 금잔디광장에서 '2005FM4U 여름 음악 페스티벌'을 개최 하+ㄴ다 .	O O O O LOC-B LOC-I LOC-I O O O O O O O
페스티벌 무료 초대권은 MBC 홈페이지(www. im bc. com)에서 신청 하+ㄹ 수 있으며, 공연은 8월 첫째주 MBCFM을 통하+여 방송되+ㄹ 예정이다 .	O O O ORG-B O O O O O O O O O O O ORG-B O O O O
마이키의 근황에 대하+ㄴ 궁금증은 작년부터 네티즌 사이에서 불거지었다. 작년 김종국이 2집 수록곡 '한 남자'로 인기를 모으자 '터보 시절 함께 활동하던 마이키는 어떻게 지내냐'는 질문이 잇따르았다 .	PER-B O O O O O O O O PER-B O O O O O O ORG-B O O O PER-B O O O O O
영화음악가 신병하씨가 11일 지병으로 별세하였다. 향년 60세 .	O PER-B O O O O O O
'라이브의 황제'이승철의 음악 인생 20년이 다큐멘터리로 제작되었다 .	PER-B PER-B O O O O O O
11일 저녁 서울 마포구 대흥동의 한 연습실, 크라잉넛의 '밤이 깊었네'가 귀를 때리었다. 그런데 연주와 노래에서 어디+이+ㄴ가 남다르+ㄴ 파장이 느끼+어+지었다.연습실로 들어가 +아보니 역시나 윤도현과 강산에, 김C, 노홍철, 이남 다르+ㄴ 파장의 주인공 4명이 무대 위에서 신나게 연주를 하고 있었다 .	O O LOC-B LOC-B LOC-B O O ORG-B O O O O O O O O O O O O O O PER-B PER-B PER-B PER-B O O O O O O O O O O O O
"산에형과 김C, 저 모두 무겁게 살아오+ㄴ사람들이었는데 지난해 제동이와 함께 하면서 진지하지만은 않은, 매우 즐겁ㄴ 공연을 +였어요. 올해는 누구가 우리를 즐겁게 하+여주+ㄹ 수 있을까 생각하다가 노홍철씨를 떠올리었지요."(윤도현 .	O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O PER-B PER-B O
또 김 C도, 노홍철도 각각 베이스와 보컬은 처음이에요 .	O PER-B PER-I PER-B O O O O O
빅마마, 윤도현 밴드, 김건모, 김종서, 인순이 등 후배 가수들이 한국록의 대가 신중현(65)을 위하+ㄴ 헌정공연을 펼치+ㄴ다 .	ORG-B ORG-B ORG-I PER-B PER-B PER-B O O O LOC-B O PER-B O O O O
'신중현헌정공연-전설'은 3일 녹화를 마치 +ㄴ 직후 같은 날 밤 11시딜레이 생방송되+ㄴ다 .	O O O O O O O O O O O O
나무 자전거 음반에 첨부되 +ㄴ '1++1 쿠폰'을 이용하면 티켓 한 장 구입으로 두 명이 공연을 관람하+ㄹ 수 있다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O O
곡의 내용처럼 이 책에는 김창완의 부모님이야기, 아내 이야기, 가족이야기, 어리+ㄴ 시절 이야기가 쓰이어 있다. 책은 '꿈은 사라지지 않는다', '유년의성', '가족', '오래되 +ㄴ 앨범 속의 이야기' 등 4부로 구성되 +어 있다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
다음달 5일 홍대 앞 롤링홀에서 열리는 이번 공연은 놀이공원처럼 즐겁ㄴ 공연을 만들자는 목표로 계획되었다. 입장하는 관객에게는 놀이공원에서처럼 공연표 대신 자유이용권을 채우어 주+ㄴ다.놀이공원에서 촬영하+ㄴ 영상도 틀어주+ㄴ다 .	O O LOC-B O LOC-B O O O O O O O O O O O O O O O O O O O O O
크로스오버테너 임태경(32)이 MBCTV 드라마 '변호사들'의 주제곡을 부르+ㄴ다 .	O PER-B ORG-B O O O O O
세븐, 렉시 등의 소속 사 이+ㄴYG엔터테인먼트가 세계 5개 도시를 돌며 해외 투자자들과 만나는 '로드쇼(RoadShow)'를 갖는다 .	PER-B PER-B O O O ORG-B O O O O O O O O O O
2인조 남성그룹 유리상자(박승화, 이세준)가 이달 말 리메이크 음반을 발매하+ㄴ다 .	O O ORG-B PER-B O O O O O O
그룹 신화 멤버로 현재 솔로 활동 중 이+ㄴ 신혜성(26)이 16일 인천문학구장에서 열리는 '삼성파브 프로야구 올스타전'에서 애국가를 부르+ㄴ다 .	O ORG-B O O O O O O PER-B O LOC-B O O O O O O O
KCM, 美라이스 국무장관과 깜짝 만나 + .	PER-B LOC-B O O O O O
이에 라이스 국무장관은 "만나 +아서 반갑고 좋은 노래를 선물 받아 기쁘다. 나도 운동 하+ㄹ 때 항상 듣을 것이다.다음에 또 기회가 오+ㄴ다면 꼭 다시 만나자"며 기념촬영을 +였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
이어 "로열필하모닉이 동방신기의 곡을 연주하거나 이들의 반주에 맞추+어 동방신기가 노래하는 형식이 되+ㄹ 것이다 .	O ORG-B ORG-B O O O O O ORG-B O O O O O
이세창, 뮤직비디오 감독 데 .	PER-B O O O O
이세창은 17일 첫 촬영을 시작으로 24-25일 경기도 용인 일대학교에서 두 주인공의 애틋 하+ㄴ 사랑이 묻어나는 모습을, 27일 용인 에버랜드 스피드웨이에서 주인공의 사고 및 차량 폭파 장면을 카메라에 담는다 .	PER-B O O O O O LOC-B LOC-B O O O O O O O O O LOC-B LOC-I LOC-I O O O O O O O O O
2집타이틀곡 '떠나가 +아요, 떠나지 말+아요'로 인기를 끌고 있는 남성 듀오더 크로스(THECROSS이시하, 김경현)의 멤버 김경현(22)이 '최고 음소유자'로 세계기네스북에 도전하+ㄴ다 .	O O O O O O O O O ORG-B ORG-B PER-B O PER-B O O O O O
규칙과 원칙 등으로 꼭 짜이+ㄴ 그물 속에 있어야 편안하+ㄴ사람이 있다면, 그물 사이로 휙 빠져나가 +아마음대로 움직이어야 진가를 드러내는 사람이 있다. '솔직하+ㅁ'을 타고 태어나 +ㄴ춘자는 후자이다 .	O O O O O O O O O O O O O O O O O O O O O O O PER-B O O
